accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis
"[0.4664051190611313, 0.5428451216737404, 0.7107132107199902, 1.0]","[0.3198185711005543, 0.2536076779323052, 0.245523250512987, 0.2624194041250544]","[0.3956400012750087, 0.3481076744902621, 0.4483812701212321, 0.4179919674447762]","[0.4521739078558178, 0.3913043553193743, 0.5652173947627881, 0.6434782631751921]","[0.4358974421622114, 0.1282051352216768, 0.1666666796973998, 0.0128205213406075]","[1.0, 0.9857142815916544, 0.8928571418848241, 0.7285714155812502]"
"[0.5428451216737404, 0.7107132107199902, 1.0, 0.4501934029292921]","[0.2536076779323052, 0.245523250512987, 0.2624194041250544, 0.3456978243785512]","[0.3481076744902621, 0.4483812701212321, 0.4179919674447762, 0.3629976518588565]","[0.3913043553193743, 0.5652173947627881, 0.6434782631751921, 0.4695652237317783]","[0.1282051352216768, 0.1666666796973998, 0.0128205213406075, 0.3589743764217588]","[0.9857142815916544, 0.8928571418848241, 0.7285714155812502, 0.5642857001676462]"
"[0.7107132107199902, 1.0, 0.4501934029292921, 0.7076172915356951]","[0.245523250512987, 0.2624194041250544, 0.3456978243785512, 0.2575030291661885]","[0.4483812701212321, 0.4179919674447762, 0.3629976518588565, 0.5094228460320664]","[0.5652173947627881, 0.6434782631751921, 0.4695652237317783, 0.7652173947627882]","[0.1666666796973998, 0.0128205213406075, 0.3589743764217588, 0.2948717953729769]","[0.8928571418848241, 0.7285714155812502, 0.5642857001676462, 0.4928571244608723]"
"[1.0, 0.4501934029292921, 0.7076172915356951, 0.5225062597827298]","[0.2624194041250544, 0.3456978243785512, 0.2575030291661885, 0.2847947960834094]","[0.4179919674447762, 0.3629976518588565, 0.5094228460320664, 0.4719407758428339]","[0.6434782631751921, 0.4695652237317783, 0.7652173947627882, 0.5565217368248079]","[0.0128205213406075, 0.3589743764217588, 0.2948717953729769, 0.8461538611893075]","[0.7285714155812502, 0.5642857001676462, 0.4928571244608723, 0.507142848314203]"
"[0.4501934029292921, 0.7076172915356951, 0.5225062597827298, 0.6418182481953054]","[0.3456978243785512, 0.2575030291661885, 0.2847947960834094, 0.1044214583772865]","[0.3629976518588565, 0.5094228460320664, 0.4719407758428339, 0.266773271566242]","[0.4695652237317783, 0.7652173947627882, 0.5565217368248079, 0.0347826052372118]","[0.3589743764217588, 0.2948717953729769, 0.8461538611893075, 0.9358974323891616]","[0.5642857001676462, 0.4928571244608723, 0.507142848314203, 0.6357142758744201]"
"[0.7076172915356951, 0.5225062597827298, 0.6418182481953054, 0.8901937056554122]","[0.2575030291661885, 0.2847947960834094, 0.1044214583772865, 0.3427386204585169]","[0.5094228460320664, 0.4719407758428339, 0.266773271566242, 0.581188839423271]","[0.7652173947627882, 0.5565217368248079, 0.0347826052372118, 1.0]","[0.2948717953729769, 0.8461538611893075, 0.9358974323891616, 1.0]","[0.4928571244608723, 0.507142848314203, 0.6357142758744201, 0.6071428717276383]"
"[0.5225062597827298, 0.6418182481953054, 0.8901937056554122, 0.6017226348639231]","[0.2847947960834094, 0.1044214583772865, 0.3427386204585169, 0.1907651021013596]","[0.4719407758428339, 0.266773271566242, 0.581188839423271, 0.3988184918771316]","[0.5565217368248079, 0.0347826052372118, 1.0, 0.2260869605565861]","[0.8461538611893075, 0.9358974323891616, 1.0, 0.615384633427169]","[0.507142848314203, 0.6357142758744201, 0.6071428717276383, 0.6499999997277508]"
"[0.6418182481953054, 0.8901937056554122, 0.6017226348639231, 0.8180278737891988]","[0.1044214583772865, 0.3427386204585169, 0.1907651021013596, 0.2411362135741689]","[0.266773271566242, 0.581188839423271, 0.3988184918771316, 0.8863903439336145]","[0.0347826052372118, 1.0, 0.2260869605565861, 0.6869565263503842]","[0.9358974323891616, 1.0, 0.615384633427169, 0.3589743764217588]","[0.6357142758744201, 0.6071428717276383, 0.6499999997277508, 0.6642857235810814]"
"[0.8901937056554122, 0.6017226348639231, 0.8180278737891988, 0.1800232610844521]","[0.3427386204585169, 0.1907651021013596, 0.2411362135741689, 0.0]","[0.581188839423271, 0.3988184918771316, 0.8863903439336145, 0.340963906626858]","[1.0, 0.2260869605565861, 0.6869565263503842, 0.0]","[1.0, 0.615384633427169, 0.3589743764217588, 0.6666666796973998]","[0.6071428717276383, 0.6499999997277508, 0.6642857235810814, 0.5357142960208644]"
"[0.6017226348639231, 0.8180278737891988, 0.1800232610844521, 0.6868769184704474]","[0.1907651021013596, 0.2411362135741689, 0.0, 0.1562427296719729]","[0.3988184918771316, 0.8863903439336145, 0.340963906626858, 0.0]","[0.2260869605565861, 0.6869565263503842, 0.0, 0.7391304474635565]","[0.615384633427169, 0.3589743764217588, 0.6666666796973998, 0.3717948843244228]","[0.6499999997277508, 0.6642857235810814, 0.5357142960208644, 0.4928571244608723]"
"[0.8180278737891988, 0.1800232610844521, 0.6868769184704474, 0.0]","[0.2411362135741689, 0.0, 0.1562427296719729, 1.0]","[0.8863903439336145, 0.340963906626858, 0.0, 1.0]","[0.6869565263503842, 0.0, 0.7391304474635565, 0.9739130261860592]","[0.3589743764217588, 0.6666666796973998, 0.3717948843244228, 0.0]","[0.6642857235810814, 0.5357142960208644, 0.4928571244608723, 0.4142857303873126]"
"[0.1800232610844521, 0.6868769184704474, 0.0, 0.9489120376299836]","[0.0, 0.1562427296719729, 1.0, 0.437342673519846]","[0.340963906626858, 0.0, 1.0, 0.05196457600646]","[0.0, 0.7391304474635565, 0.9739130261860592, 0.5739130527007684]","[0.6666666796973998, 0.3717948843244228, 0.0, 0.8333333398487]","[0.5357142960208644, 0.4928571244608723, 0.4142857303873126, 0.1571428752668784]"
"[0.6868769184704474, 0.0, 0.9489120376299836, 0.4964760200724695]","[0.1562427296719729, 1.0, 0.437342673519846, 0.4180337457671941]","[0.0, 1.0, 0.05196457600646, 0.5020474515762295]","[0.7391304474635565, 0.9739130261860592, 0.5739130527007684, 0.6521739211131723]","[0.3717948843244228, 0.0, 0.8333333398487, 0.4871794982054921]","[0.4928571244608723, 0.4142857303873126, 0.1571428752668784, 0.128571427560217]"
"[0.0, 0.9489120376299836, 0.4964760200724695, 0.559966457495187]","[1.0, 0.437342673519846, 0.4180337457671941, 0.2551293762627012]","[1.0, 0.05196457600646, 0.5020474515762295, 0.2358373088814985]","[0.9739130261860592, 0.5739130527007684, 0.6521739211131723, 0.269565217103101]","[0.0, 0.8333333398487, 0.4871794982054921, 0.9487179537297692]","[0.4142857303873126, 0.1571428752668784, 0.128571427560217, 0.0357143096333267]"
"[0.9489120376299836, 0.4964760200724695, 0.559966457495187, 0.8893819602124732]","[0.437342673519846, 0.4180337457671941, 0.2551293762627012, 0.1842550155324845]","[0.05196457600646, 0.5020474515762295, 0.2358373088814985, 0.4422575092703762]","[0.5739130527007684, 0.6521739211131723, 0.269565217103101, 0.6869565263503842]","[0.8333333398487, 0.4871794982054921, 0.9487179537297692, 1.0]","[0.1571428752668784, 0.128571427560217, 0.0357143096333267, 0.0]"
"[0.4964760200724695, 0.559966457495187, 0.8893819602124732, 0.4328356729861501]","[0.4180337457671941, 0.2551293762627012, 0.1842550155324845, 0.5530848647195361]","[0.5020474515762295, 0.2358373088814985, 0.4422575092703762, 0.5684221090883896]","[0.6521739211131723, 0.269565217103101, 0.6869565263503842, 0.4423076827225856]","[0.4871794982054921, 0.9487179537297692, 1.0, 0.3414634154277343]","[0.128571427560217, 0.0357143096333267, 0.0, 0.9370078717944076]"
"[0.559966457495187, 0.8893819602124732, 0.4328356729861501, 0.5753416944938514]","[0.2551293762627012, 0.1842550155324845, 0.5530848647195361, 0.4695724555569042]","[0.2358373088814985, 0.4422575092703762, 0.5684221090883896, 0.5777049591235677]","[0.269565217103101, 0.6869565263503842, 0.4423076827225856, 0.3365384465969717]","[0.9487179537297692, 1.0, 0.3414634154277343, 0.4024390206773861]","[0.0357143096333267, 0.0, 0.9370078717944076, 1.0]"
"[0.8893819602124732, 0.4328356729861501, 0.5753416944938514, 0.2307665246309073]","[0.1842550155324845, 0.5530848647195361, 0.4695724555569042, 1.0]","[0.4422575092703762, 0.5684221090883896, 0.5777049591235677, 0.5763467417812822]","[0.6869565263503842, 0.4423076827225856, 0.3365384465969717, 0.644230763874386]","[1.0, 0.3414634154277343, 0.4024390206773861, 0.378048786014578]","[0.0, 0.9370078717944076, 1.0, 0.858267719040349]"
"[0.4328356729861501, 0.5753416944938514, 0.2307665246309073, 0.2158212829144743]","[0.5530848647195361, 0.4695724555569042, 1.0, 0.6940029438918099]","[0.5684221090883896, 0.5777049591235677, 0.5763467417812822, 0.4727202607206703]","[0.4423076827225856, 0.3365384465969717, 0.644230763874386, 0.451923073822013]","[0.3414634154277343, 0.4024390206773861, 0.378048786014578, 0.1341463382890629]","[0.9370078717944076, 1.0, 0.858267719040349, 0.779527554281599]"
"[0.5753416944938514, 0.2307665246309073, 0.2158212829144743, 0.4418368043413441]","[0.4695724555569042, 1.0, 0.6940029438918099, 0.582948127894961]","[0.5777049591235677, 0.5763467417812822, 0.4727202607206703, 0.6381247430416834]","[0.3365384465969717, 0.644230763874386, 0.451923073822013, 0.2692307657068329]","[0.4024390206773861, 0.378048786014578, 0.1341463382890629, 0.0]","[1.0, 0.858267719040349, 0.779527554281599, 0.3937007757749837]"
"[0.2307665246309073, 0.2158212829144743, 0.4418368043413441, 0.8196058799357729]","[1.0, 0.6940029438918099, 0.582948127894961, 0.4198046664782494]","[0.5763467417812822, 0.4727202607206703, 0.6381247430416834, 0.6022389698334121]","[0.644230763874386, 0.451923073822013, 0.2692307657068329, 0.4423076827225856]","[0.378048786014578, 0.1341463382890629, 0.0, 0.9146341635736585]","[0.858267719040349, 0.779527554281599, 0.3937007757749837, 0.2598425100907386]"
"[0.2158212829144743, 0.4418368043413441, 0.8196058799357729, 0.0]","[0.6940029438918099, 0.582948127894961, 0.4198046664782494, 0.5546777678673901]","[0.4727202607206703, 0.6381247430416834, 0.6022389698334121, 0.4432934070418424]","[0.451923073822013, 0.2692307657068329, 0.4423076827225856, 0.6538461549738135]","[0.1341463382890629, 0.0, 0.9146341635736585, 0.5731707249051348]","[0.779527554281599, 0.3937007757749837, 0.2598425100907386, 0.1968503878874918]"
"[0.4418368043413441, 0.8196058799357729, 0.0, 0.155226667257516]","[0.582948127894961, 0.4198046664782494, 0.5546777678673901, 0.6519292910846822]","[0.6381247430416834, 0.6022389698334121, 0.4432934070418424, 0.4867706269676655]","[0.2692307657068329, 0.4423076827225856, 0.6538461549738135, 0.3942307638743861]","[0.0, 0.9146341635736585, 0.5731707249051348, 0.5121951115212067]","[0.3937007757749837, 0.2598425100907386, 0.1968503878874918, 0.228346424979732]"
"[0.8196058799357729, 0.0, 0.155226667257516, 0.2799954697981968]","[0.4198046664782494, 0.5546777678673901, 0.6519292910846822, 0.5336688350810397]","[0.6022389698334121, 0.4432934070418424, 0.4867706269676655, 0.6267383373402273]","[0.4423076827225856, 0.6538461549738135, 0.3942307638743861, 0.4230769151833058]","[0.9146341635736585, 0.5731707249051348, 0.5121951115212067, 1.0]","[0.2598425100907386, 0.1968503878874918, 0.228346424979732, 0.5669291238386038]"
"[0.0, 0.155226667257516, 0.2799954697981968, 0.6847431780180921]","[0.5546777678673901, 0.6519292910846822, 0.5336688350810397, 0.0]","[0.4432934070418424, 0.4867706269676655, 0.6267383373402273, 0.4413253674344721]","[0.6538461549738135, 0.3942307638743861, 0.4230769151833058, 0.0384615350785596]","[0.5731707249051348, 0.5121951115212067, 1.0, 0.9146341635736585]","[0.1968503878874918, 0.228346424979732, 0.5669291238386038, 0.5196850201814772]"
"[0.155226667257516, 0.2799954697981968, 0.6847431780180921, 0.6838445767932715]","[0.6519292910846822, 0.5336688350810397, 0.0, 0.8524655093908695]","[0.4867706269676655, 0.6267383373402273, 0.4413253674344721, 0.8814168254904687]","[0.3942307638743861, 0.4230769151833058, 0.0384615350785596, 1.0]","[0.5121951115212067, 1.0, 0.9146341635736585, 0.5121951115212067]","[0.228346424979732, 0.5669291238386038, 0.5196850201814772, 0.6220472247640989]"
"[0.2799954697981968, 0.6847431780180921, 0.6838445767932715, 0.5798841878188772]","[0.5336688350810397, 0.0, 0.8524655093908695, 0.2563800660371061]","[0.6267383373402273, 0.4413253674344721, 0.8814168254904687, 0.3252599386509631]","[0.4230769151833058, 0.0384615350785596, 1.0, 0.0]","[1.0, 0.9146341635736585, 0.5121951115212067, 0.6463414684029012]","[0.5669291238386038, 0.5196850201814772, 0.6220472247640989, 0.5354330627369804]"
"[0.6847431780180921, 0.6838445767932715, 0.5798841878188772, 0.5245507181192266]","[0.0, 0.8524655093908695, 0.2563800660371061, 0.17564007728487]","[0.4413253674344721, 0.8814168254904687, 0.3252599386509631, 0.9976819621502628]","[0.0384615350785596, 1.0, 0.0, 0.6923076900523731]","[0.9146341635736585, 0.5121951115212067, 0.6463414684029012, 0.7560975464642876]","[0.5196850201814772, 0.6220472247640989, 0.5354330627369804, 0.4488188767004788]"
"[0.6838445767932715, 0.5798841878188772, 0.5245507181192266, 0.5873183463825052]","[0.8524655093908695, 0.2563800660371061, 0.17564007728487, 0.6524850707192688]","[0.8814168254904687, 0.3252599386509631, 0.9976819621502628, 0.0]","[1.0, 0.0, 0.6923076900523731, 0.4134615240838784]","[0.5121951115212067, 0.6463414684029012, 0.7560975464642876, 0.9878048698861618]","[0.6220472247640989, 0.5354330627369804, 0.4488188767004788, 0.3937007757749837]"
"[0.5798841878188772, 0.5245507181192266, 0.5873183463825052, 0.450027520342647]","[0.2563800660371061, 0.17564007728487, 0.6524850707192688, 0.3509542219206272]","[0.3252599386509631, 0.9976819621502628, 0.0, 1.0]","[0.0, 0.6923076900523731, 0.4134615240838784, 0.4134615240838784]","[0.6463414684029012, 0.7560975464642876, 0.9878048698861618, 0.7439024535357124]","[0.5354330627369804, 0.4488188767004788, 0.3937007757749837, 0.4330708341449755]"
"[0.5245507181192266, 0.5873183463825052, 0.450027520342647, 1.0]","[0.17564007728487, 0.6524850707192688, 0.3509542219206272, 0.91155889468802]","[0.9976819621502628, 0.0, 1.0, 0.7543903891603455]","[0.6923076900523731, 0.4134615240838784, 0.4134615240838784, 0.8557692507851888]","[0.7560975464642876, 0.9878048698861618, 0.7439024535357124, 0.9756097769575864]","[0.4488188767004788, 0.3937007757749837, 0.4330708341449755, 0.4173228396082386]"
"[0.5873183463825052, 0.450027520342647, 1.0, 0.5611268082228961]","[0.6524850707192688, 0.3509542219206272, 0.91155889468802, 0.3523779460120553]","[0.0, 1.0, 0.7543903891603455, 0.5781940396369188]","[0.4134615240838784, 0.4134615240838784, 0.8557692507851888, 0.451923073822013]","[0.9878048698861618, 0.7439024535357124, 0.9756097769575864, 0.4268292750948652]","[0.3937007757749837, 0.4330708341449755, 0.4173228396082386, 0.228346424979732]"
"[0.450027520342647, 1.0, 0.5611268082228961, 0.5310528974649102]","[0.3509542219206272, 0.91155889468802, 0.3523779460120553, 0.485618183135888]","[1.0, 0.7543903891603455, 0.5781940396369188, 0.5248913961057983]","[0.4134615240838784, 0.8557692507851888, 0.451923073822013, 0.6538461549738135]","[0.7439024535357124, 0.9756097769575864, 0.4268292750948652, 0.609756096654018]","[0.4330708341449755, 0.4173228396082386, 0.228346424979732, 0.0944881592954869]"
"[1.0, 0.5611268082228961, 0.5310528974649102, 0.3422886702960372]","[0.91155889468802, 0.3523779460120553, 0.485618183135888, 0.5126652442115099]","[0.7543903891603455, 0.5781940396369188, 0.5248913961057983, 0.560277390164489]","[0.8557692507851888, 0.451923073822013, 0.6538461549738135, 0.5384615204189848]","[0.9756097769575864, 0.4268292750948652, 0.609756096654018, 0.8292682899620539]","[0.4173228396082386, 0.228346424979732, 0.0944881592954869, 0.1023621805732385]"
"[0.5611268082228961, 0.5310528974649102, 0.3422886702960372, 0.6016388612463446]","[0.3523779460120553, 0.485618183135888, 0.5126652442115099, 0.5333650617492541]","[0.5781940396369188, 0.5248913961057983, 0.560277390164489, 0.3872773855793591]","[0.451923073822013, 0.6538461549738135, 0.5384615204189848, 0.7211538340315053]","[0.4268292750948652, 0.609756096654018, 0.8292682899620539, 0.6463414684029012]","[0.228346424979732, 0.0944881592954869, 0.1023621805732385, 0.0]"
"[0.5310528974649102, 0.3422886702960372, 0.6016388612463446, 0.3422599179411146]","[0.485618183135888, 0.5126652442115099, 0.5333650617492541, 0.433077419501953]","[0.5248913961057983, 0.560277390164489, 0.3872773855793591, 0.4412439892977296]","[0.6538461549738135, 0.5384615204189848, 0.7211538340315053, 0.0927152219588799]","[0.609756096654018, 0.8292682899620539, 0.6463414684029012, 0.5656565753982051]","[0.0944881592954869, 0.1023621805732385, 0.0, 1.0]"
"[0.3422886702960372, 0.6016388612463446, 0.3422599179411146, 0.7531959930942922]","[0.5126652442115099, 0.5333650617492541, 0.433077419501953, 0.4191996086506473]","[0.560277390164489, 0.3872773855793591, 0.4412439892977296, 0.656099569801347]","[0.5384615204189848, 0.7211538340315053, 0.0927152219588799, 0.4370860867642198]","[0.8292682899620539, 0.6463414684029012, 0.5656565753982051, 0.5656565753982051]","[0.1023621805732385, 0.0, 1.0, 0.9705882369426858]"
"[0.6016388612463446, 0.3422599179411146, 0.7531959930942922, 0.3345389766730915]","[0.5333650617492541, 0.433077419501953, 0.4191996086506473, 0.4918689569085854]","[0.3872773855793591, 0.4412439892977296, 0.656099569801347, 0.5509253456357108]","[0.7211538340315053, 0.0927152219588799, 0.4370860867642198, 0.4569536292785066]","[0.6463414684029012, 0.5656565753982051, 0.5656565753982051, 0.4848484981484477]","[0.0, 1.0, 0.9705882369426858, 0.88970588292994]"
"[0.3422599179411146, 0.7531959930942922, 0.3345389766730915, 0.1722010844217453]","[0.433077419501953, 0.4191996086506473, 0.4918689569085854, 0.6332561454505965]","[0.4412439892977296, 0.656099569801347, 0.5509253456357108, 0.4127543339727689]","[0.0927152219588799, 0.4370860867642198, 0.4569536292785066, 0.271523175264086]","[0.5656565753982051, 0.5656565753982051, 0.4848484981484477, 0.4898989987656318]","[1.0, 0.9705882369426858, 0.88970588292994, 0.8088235177069307]"
"[0.7531959930942922, 0.3345389766730915, 0.1722010844217453, 0.6144539227285658]","[0.4191996086506473, 0.4918689569085854, 0.6332561454505965, 0.2899486587657742]","[0.656099569801347, 0.5509253456357108, 0.4127543339727689, 0.7613284416434378]","[0.4370860867642198, 0.4569536292785066, 0.271523175264086, 0.2052980116736985]","[0.5656565753982051, 0.4848484981484477, 0.4898989987656318, 0.5959596012387479]","[0.9705882369426858, 0.88970588292994, 0.8088235177069307, 0.6397058857325059]"
"[0.3345389766730915, 0.1722010844217453, 0.6144539227285658, 0.1255155824338482]","[0.4918689569085854, 0.6332561454505965, 0.2899486587657742, 0.2079713972991345]","[0.5509253456357108, 0.4127543339727689, 0.7613284416434378, 0.6356765187174798]","[0.4569536292785066, 0.271523175264086, 0.2052980116736985, 0.0927152219588799]","[0.4848484981484477, 0.4898989987656318, 0.5959596012387479, 1.0]","[0.88970588292994, 0.8088235177069307, 0.6397058857325059, 0.6838235191082137]"
"[0.1722010844217453, 0.6144539227285658, 0.1255155824338482, 0.8472227893820578]","[0.6332561454505965, 0.2899486587657742, 0.2079713972991345, 0.4534167634839356]","[0.4127543339727689, 0.7613284416434378, 0.6356765187174798, 0.7063823715269992]","[0.271523175264086, 0.2052980116736985, 0.0927152219588799, 0.675496677708947]","[0.4898989987656318, 0.5959596012387479, 1.0, 0.7171717190383786]","[0.8088235177069307, 0.6397058857325059, 0.6838235191082137, 0.7499999915923024]"
"[0.6144539227285658, 0.1255155824338482, 0.8472227893820578, 0.7169302890075046]","[0.2899486587657742, 0.2079713972991345, 0.4534167634839356, 0.2477926019897541]","[0.7613284416434378, 0.6356765187174798, 0.7063823715269992, 0.611994124073646]","[0.2052980116736985, 0.0927152219588799, 0.675496677708947, 0.0662251686387178]","[0.5959596012387479, 1.0, 0.7171717190383786, 0.6616161660494826]","[0.6397058857325059, 0.6838235191082137, 0.7499999915923024, 0.7132352821655279]"
